Genetic ID,Master ID,Political Entity,Locality,Molecular Sex,Y Haplogroup,mtDNA Haplogroup
Ne30_genotyping_noUDG,NE30,China,"Nepal, Kathmandu",M,C,D4m
I14200,I14200,United Kingdom,"England, Wiltshire, Amesbury Down",M,R1b1a1b1a1a,K1b1a
Aconcagua_noUDG.SG,Aconcagua,Argentina,"Cerro Aconcagua, Mendoza Province",M,Q-M3,C1bi 
I1407,I1407,Armenia,Areni 1,M,L1a,H
ARM003,ARM002,Armenia,"South Caucasus mountains, Kaps",M,G2b,K3
I1635,I1635,Armenia,Kalavan,M,"R1b1x(R1b1a1, R1b1a2, R1b1c2, R1b1c3) ",X2f
ARM002,ARM002,Armenia,"South Caucasus mountains, Kaps",M,G2b,K3
I6913,I6913,Austria,Brunn Wolfholz,M,CT ,U5a1
I6912_noUDG,I6912,Austria,Brunn Wolfholz,M,BT,J1
ALX002,ALX002,Azerbaijan ,"Jalilabad district, Uchtepe village, Alkhantepe",M,G1,K1a12a1a
PCV003,PCV003,Bahamas,"Eleuthera, Bahamian Island, Preacher's Cave",M,Q1b1a,B2
GoyetQ116-1_noUDG,GoyetQ116-1,Belgium,Troisieme caverne of Goyet cave,M,C1a,M
XAR001,XAR001,Botswana,Xaro,M,E1b1a1a1c1a,L3e1a2
XAR002,XAR002,Botswana,Xaro,M,"E1b1b1b2b(E- M293,E- CTS10880) ",L0k1a2 
I10871,I10871,Cameroon,Shum Laka,M,A00,L0a2a1
I10872,I10872,Cameroon,Shum Laka,M,B,L0a2a1
I10873,I10873,Cameroon,Shum Laka,M,B2b,L1c2a1b
I10871_noUDG,I10871,Cameroon,Shum Laka,M,A00,L0a2a1
I10872_noUDG,I10872,Cameroon,Shum Laka,M,B,L0a2a1
I10873_noUDG,I10873,Cameroon,Shum Laka,M,B2b,L1c2a1b
I10872_alt,I10872,Cameroon,Shum Laka,M,B,L0a2a1
I10871_noUDG.DG,I10871,Cameroon,Shum Laka,M,A00,L0a2a1
I10871_noUDG.SG,I10871,Cameroon,Shum Laka,M,A00,L0a2a1
I10873.SG,I10873,Cameroon,Shum Laka,M,B2b,L1c2a1b
gun002_noUDG.SG,gun002_Rodriguez,Canary Islands,Tenerife,M,E1b1b1b1a1 E-M183 ,H1cf
gun011_noUDG.SG,gun011,Canary Islands,Tenerife,M,E1b1b1b1a1 E-M183 ,T2c1d2
gun012_noUDG.SG,gun012,Canary Islands,Tenerife,M,E1b1b1b1a1 E-M183 ,U6b1a
I16429,I16429,Channel Islands,"Channel Islands, Guernsey, Vale, Le Déhus",M,I2,K1
I16438,I16438,Channel Islands,"Channel Islands, Guernsey, Vale, Le Déhus",M,I2a1b1a2b2,J1c8
I16444,I16444,Channel Islands,"Channel Islands, Guernsey, Vale, Le Déhus",M,I2a1a2,J1c1b1
I16427,I16427,Channel Islands,"Channel Islands, Guernsey, Vale, Le Déhus",M,I2a1a2,X2b+226
NE45_noUDG,NE45,China,Amur River Basin,M,P,G1a1a
NE34_noUDG,NE34,China,Amur River Basin,M,C,D4h3
NE5_noUDG,NE5,China,Amur River Basin,M,C,D4h3a+@152
NE56_noUDG,NE56,China,Amur River Basin,M,C2,G2
NE3_noUDG,NE3,China,Amur River Basin,M,C,M8
NE4_noUDG,NE4,China,Amur River Basin,M,C,M8
NE8_noUDG,NE8,China,Amur River Basin,M,DE,D4o
NE19_noUDG,NE19,China,Amur River Basin,M,C,F1b1+@152
NE2_noUDG,NE2,China,Amur River Basin,M,C,D4m
NE22_noUDG,NE22,China,Amur River Basin,M,C,D4m
NE39_noUDG,NE39,China,Amur River Basin,M,C,D4m2
ZLNR-1_noUDG,ZLNR-1,China ,"Inner Mongolia, Hulunbuir, Zhalainuoer, Zhalainuoer mining site ",M,C2b1a1b1,N9a9
MGS-M6_noUDG,MGS-M6,China ,"Inner Mongolia, Hulunbuir, Mogushan Xianbei site ",M,C2b1a1b1,C5a1
MGS-M7R_noUDG,MGS-M7R,China ,"Inner Mongolia, Hulunbuir, Mogushan Xianbei site ",M,C2b1a1b1b,C4a1a4a
MGS-M7L_noUDG,MGS-M7L,China ,"Inner Mongolia, Hulunbuir, Mogushan Xianbei site ",M,C2b1a1b1,Z3a1
MZGM10-1_noUDG,MZGM10-1,China ,"Inner Mongolia, Qahar Youyi Qianqi, Uraharura, Miaozigou site ",M,C2e2,A14
MZGM16_noUDG,MZGM16,China ,"Inner Mongolia, Qahar Youyi Qianqi, Uraharura, Miaozigou site ",M,C2e2,C4a2a1
SM-SGDLM27_noUDG,SM-M27,China ,"Shanxi province, Shenmu, Shengedaliang site",M,C2e1b2,G2a1
SM-SGDLM6_noUDG,SM-M6,China ,"Shanxi province, Shenmu, Shengedaliang site",M,O2a2b1a1a1a2a,D5a2a1b
DCZ-M21II_noUDG,DCZ-M21II,China ,"Qinghai province, Pingan county, Dacaozi site",M,O2a2b1a1a1a2a,G2b1b
JCKM1-1_noUDG,JCKM1-1,China ,"Qinghai, Huzhu county, Jinchankou site",M,O2a2b1a1a,G3a2
LJM3_noUDG,LJM3,China ,"Qinghai province, Minhe  County, Lajia village, Lajia site",M,O2a2b1a1a,G1c1
LJM5_noUDG,LJM5,China ,"Qinghai province, Minhe  County, Lajia village, Lajia site",M,O2a2b1a1a,F1g
LJM14_noUDG,LJM14,China ,"Qinghai province, Minhe  County, Lajia village, Lajia site",M,O2a2b1a2a1a3b2b1,A18
91KLM2_noUDG,91KLM2,China ,"Inner Mongolia, Chifeng, Hexigten, Longtoushan site",M,C2b1a1b1,B4c1a2
EDM124_noUDG,EDM124,China ,"Inner Mongolia, Chifeng, Erdaojingzi",M,O2a1c,B5b1a
JXNTM2_noUDG,JXNTM2,China ,"Henan province, Jiazuo city, Jiaozuoniecun site",M,O2a2b1a2a1a3b2b,A5b1b
LGM41_noUDG,LGM41,China ,"Henan province, Jiazuo city, Jiaozuoniecun site",M,O2a2b1a1a,M8a2b
HJTM107_noUDG,HJTM107,China ,"Henan province, Luohe city, Shicaozhao village, Haojiatai site ",M,C2e2,D4
HJTM109_noUDG,HJTM109,China ,"Henan province, Luohe city, Shicaozhao village, Haojiatai site ",M,O2a2b1a1,D4e1a
WD-WT1H16_noUDG,WD-WT1H16,China ,"Henan province, Yuzhou city, Wadian site ",M,O2a2b1a2a1c,N9a2
WGM94_noUDG,WGM94,China ,"Henan province, Yingyang county, Wanggou village, Wanggou site ",M,O1b1a2,B4d1
XW-M1R18_noUDG,XW-M1R18,China ,"Henan province, Lingbao city, Xiaowu village, Xiaowu site ",M,Q1a1a1,D4g2a1
KIN004,KIN004,DR Congo,Kindoki,M,"R1b1(R-P25_1,R-M415)",L0a1b1a1
CAO006,CAO006,Cuba,"Matanzas City, Canimar Abajo",M,Q1b,D1
CAO010,CAO010,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,C1d1
CAO011,CAO011,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,D1
CAO014,CAO014,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,D1
CAO022026,CAO022026,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,C
CAO023025,CAO023025,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,D1
CAO024,CAO024,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,D1
CAO027,CAO027,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,D1
CAO028,CAO028,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a2,D1
CAO029,CAO029,Cuba,"Matanzas City, Canimar Abajo",M,Q1b1a1a1,C
CUC002,CUC002,Cuba,"Matanzas Province, Cardenas, Cueva Calero ",M,Q1b1a1a1,A2
CDE001,CDE001,Cuba,"Camagüey, Sierra de Cubitas, Cueva de los Esqueletos 1",M,Q1b1a1a1,B2
CDE003,CDE003,Cuba,"Camagüey, Sierra de Cubitas, Cueva de los Esqueletos 1",M,Q1b1a1a1,C1d1
CDE005,CDE005,Cuba,"Camagüey, Sierra de Cubitas, Cueva de los Esqueletos 1",M,Q1b1a1a1,C1b2
CIP002,CIP002,Cuba,"Artemisa province, Cueva del Perico I ",M,na,D1
CIP007012,CIP007012,Cuba,"Artemisa province, Cueva del Perico I ",M,Q1b1a,D1
CIP009,CIP009,Cuba,"Artemisa province, Cueva del Perico I ",M,Q1b1a1a1,D1
CIP010,CIP010,Cuba,"Artemisa province, Cueva del Perico I ",M,Q1b,C1d1
GUY001,GUY001,Cuba,"Matanzas province, Ciénaga de Zapata, Guayabo Blanco",M,Q1b1a1a1,D1
GUY002,GUY002,Cuba,"Matanzas province, Ciénaga de Zapata, Guayabo Blanco",M,Q1b1a2,A2
GUY003,GUY003,Cuba,"Matanzas province, Ciénaga de Zapata, Guayabo Blanco",M,Q1b,D1
PDM003,PDM003,Cuba,"Granma province, Rio Cauto Basin, Playa del Mango",M,Q1b1a1a,C1d1
PDM004,PDM004,Cuba,"Granma province, Rio Cauto Basin, Playa del Mango",M,Q1b1a1a1,C1d1
PDM008,PDM008,Cuba,"Granma province, Rio Cauto Basin, Playa del Mango",M,Q1b1a1a1,D1
PDM009,PDM009,Cuba,"Granma province, Rio Cauto Basin, Playa del Mango",M,Q1b1a1a1,C1d1
HOP001,HOP001,Czech Republic,"Bohemia, Hostivice",M,R1b - P312,J1c2r
